Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,568.838257,574.383057,561.308899,564.520081,564.520081,1955200
2014-08-04,567.481995,573.774719,562.555481,571.580750,571.580750,1427300
2014-08-05,568.489197,570.413940,561.069580,563.522827,563.522827,1551200
2014-08-06,560.241882,569.137451,558.466736,564.823303,564.823303,1334300
2014-08-07,566.444824,568.329651,559.563721,561.817505,561.817505,1110900
2014-08-08,562.016968,568.688660,558.815796,567.212708,567.212708,1494700
2014-08-11,568.429382,568.927979,564.450317,566.325134,566.325134,1214700
2014-08-12,562.974365,564.350586,559.344299,561.189270,561.189270,1542000
2014-08-13,565.756714,573.425659,564.200989,573.206238,573.206238,1439200
2014-08-14,574.602417,576.317749,569.316956,573.076599,573.076599,985400
2014-08-15,576.277832,577.793640,568.957947,571.909851,571.909851,1519100
2014-08-18,574.532593,582.909607,574.422913,580.566040,580.566040,1284100
2014-08-19,583.398254,585.731873,582.401001,585.253174,585.253174,978600
2014-08-20,584.275879,585.093628,580.974915,582.889648,582.889648,1036700
2014-08-21,582.221497,582.899658,579.548828,581.772766,581.772766,914800
2014-08-22,581.992126,583.633606,579.050232,580.964966,580.964966,789000
2014-08-25,583.119019,583.398254,577.414734,578.611450,578.611450,1361400
2014-08-26,579.668518,580.207031,575.001343,576.277832,576.277832,1639600
2014-08-27,575.689453,576.906128,568.542053,569.436584,569.436584,1703300
2014-08-28,568.000549,571.680481,565.547302,567.641541,567.641541,1292900
2014-08-29,569.765686,570.473755,565.516357,570.034973,570.034973,1083700
2014-09-02,570.284302,576.247925,569.626099,575.749268,575.749268,1578400
2014-09-03,578.411987,581.393799,573.425659,576.357605,576.357605,1215100
2014-09-04,578.411987,584.395569,577.634094,580.386536,580.386536,1458100
2014-09-05,582.381042,584.944031,580.356628,584.475342,584.475342,1632300
2014-09-08,584.993896,590.149719,584.694702,588.105347,588.105347,1431000
2014-09-09,587.287598,587.387329,578.411987,579.419189,579.419189,1287200
2014-09-10,579.907837,581.902405,575.360352,581.503479,581.503479,977300
2014-09-11,578.770996,580.217041,574.682190,579.758301,579.758301,1221000
2014-09-12,579.409241,580.047485,572.887146,574.043945,574.043945,1601600
2014-09-15,571.371277,573.375793,566.654236,571.530884,571.530884,1597500
2014-09-16,571.191772,579.907837,571.092041,578.362122,578.362122,1480300
2014-09-17,578.421936,585.911377,577.190308,583.168884,583.168884,1692800
2014-09-18,585.392822,587.925842,583.398254,587.656616,587.656616,1444500
2014-09-19,589.880493,594.846863,587.885986,594.447937,594.447937,3736600
2014-09-22,592.194153,592.322754,581.862488,585.761780,585.761780,1689500
2014-09-23,585.243225,585.243225,579.409241,579.538879,579.538879,1471400
2014-09-24,579.867981,588.015625,578.930542,586.380066,586.380066,1728100
2014-09-25,585.941284,586.370117,572.607910,573.485474,573.485474,1925900
2014-09-26,574.482788,577.664001,573.086609,575.519897,575.519897,1443600
2014-09-29,570.184570,576.606934,569.606140,574.781921,574.781921,1282400
2014-09-30,575.350403,578.262390,571.281555,575.779175,575.779175,1621700
2014-10-01,574.432922,575.998596,565.457520,566.714111,566.714111,1445400
2014-10-02,565.756714,570.344116,561.777649,568.519104,568.519104,1178400
2014-10-03,571.481018,575.644592,570.932495,573.704895,573.704895,1141700
2014-10-06,577.215271,579.409241,572.867188,575.769226,575.769226,1214600
2014-10-07,572.827332,573.694946,562.196472,562.196472,562.196472,1911300
2014-10-08,564.021484,572.308716,555.963623,570.932495,570.932495,1990800
2014-10-09,569.616089,569.925293,557.529297,559.344299,559.344299,2524800
2014-10-10,556.192993,563.582703,542.560425,542.999207,542.999207,3081900
2014-10-13,543.497803,547.995483,531.640381,531.750061,531.750061,2581600
2014-10-14,537.424500,545.691833,531.710205,536.467102,536.467102,2222500
2014-10-15,529.556091,531.341187,516.880920,528.578796,528.578796,3719300
2014-10-16,517.578979,527.980408,513.589966,523.073914,523.073914,3708500
2014-10-17,525.806396,529.526184,507.137665,509.770416,509.770416,5539300
2014-10-20,508.055145,520.331421,506.708832,519.413940,519.413940,2607500
2014-10-21,523.752014,525.347656,517.688660,525.098328,525.098328,2336200
2014-10-22,528.439148,538.322021,527.352173,531.251465,531.251465,2919200
2014-10-23,537.843323,545.721741,534.382874,542.490601,542.490601,2348800
2014-10-24,542.869568,543.388123,534.322998,538.302063,538.302063,1973100
2014-10-27,535.559631,542.919434,535.559631,539.289368,539.289368,1185300
2014-10-28,541.513306,547.476929,540.137024,547.397095,547.397095,1270900
2014-10-29,548.494080,552.672607,545.482361,547.825928,547.825928,1770500
2014-10-30,547.446960,551.286438,542.021851,548.803284,548.803284,1455600
2014-10-31,557.818481,558.037903,553.231079,557.549255,557.549255,2035000
2014-11-03,553.979065,556.372498,551.715271,553.699829,553.699829,1382200
2014-11-04,551.485901,553.979065,547.796021,552.592834,552.592834,1244200
2014-11-05,555.275513,555.275513,542.560425,544.425293,544.425293,2032200
2014-11-06,544.006409,545.387634,539.488831,540.555908,540.555908,1333200
2014-11-07,544.714478,544.714478,537.195129,539.528748,539.528748,1633700
2014-11-10,539.977478,548.085205,539.538696,545.990967,545.990967,1134600
2014-11-11,546.988220,550.428772,544.804260,548.783325,548.783325,965500
2014-11-12,548.883057,548.952820,543.677307,545.811462,545.811462,1129600
2014-11-13,548.294678,548.294678,541.991943,543.886780,543.886780,1339300
2014-11-14,545.183228,545.183228,540.665588,542.909424,542.909424,1289500
2014-11-17,542.091675,542.301086,532.598755,535.041016,535.041016,1726000
2014-11-18,536.028320,540.456177,532.707458,533.565125,533.565125,1962600
2014-11-19,533.535156,536.766296,528.628662,535.519714,535.519714,1392200
2014-11-20,529.795471,533.644897,529.625916,533.365662,533.365662,1563300
2014-11-21,540.127075,540.655640,535.090881,536.028320,536.028320,2224200
2014-11-24,536.177917,541.214111,534.153503,537.793518,537.793518,1706300
2014-11-25,537.524231,542.490601,537.127319,539.598511,539.598511,1789900
2014-11-26,539.399109,540.067261,535.571594,538.890503,538.890503,1522900
2014-11-28,539.139771,540.515991,535.130798,540.346497,540.346497,1148300
2014-12-01,537.424500,539.927612,530.403748,532.338440,532.338440,2115300
2014-12-02,532.049255,534.033813,528.349426,532.288574,532.288574,1526600
2014-12-03,529.984924,534.528442,527.810913,529.865234,529.865234,1277900
2014-12-04,529.705688,535.868774,527.142700,535.838867,535.838867,1392100
2014-12-05,529.546143,531.430969,522.844543,523.821838,523.821838,2565600
2014-12-08,525.686707,529.546143,522.355896,525.537109,525.537109,2329300
2014-12-09,520.710388,532.727417,519.074890,531.909668,531.909668,1871300
2014-12-10,531.620422,534.861511,524.121033,524.619629,524.619629,1712200
2014-12-11,526.354919,532.458130,525.656799,526.893433,526.893433,1610800
2014-12-12,522.076660,527.052979,517.239929,517.239929,517.239929,1994500
2014-12-15,521.308777,521.667786,511.864685,512.393250,512.393250,2813400
2014-12-16,510.159363,511.645264,487.661133,494.033630,494.033630,3964200
2014-12-17,495.639221,505.611847,495.449738,503.507629,503.507629,2883100
2014-12-18,511.545563,512.463013,503.318146,509.700623,509.700623,2926700
2014-12-19,510.109497,516.302490,505.523071,514.936218,514.936218,3690200
2014-12-22,514.666992,525.018555,514.666992,523.432922,523.432922,2723700
2014-12-23,525.557068,533.096375,524.848999,529.137268,529.137268,2197600
2014-12-24,529.057495,530.303040,525.577026,527.322266,527.322266,705900
2014-12-26,527.322266,532.787231,525.866211,532.567810,532.567810,1040500
2014-12-29,530.732849,534.013855,528.559814,528.877991,528.877991,2278500
2014-12-30,526.644104,529.695740,525.686707,528.967712,528.967712,876200
