WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-01-23 09:28:00;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2017-01-23 10:38:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.8800;0.0000;    0;    2
2017-01-23 10:39:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;    1
2017-01-23 10:40:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.3300;0.0000;    0;    0
2017-01-23 10:41:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;    0
2017-01-23 10:42:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;    0
2017-01-23 10:43:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.8800;0.0000;    0;    0
2017-01-23 10:44:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.8800;0.0000;    0;    0
2017-01-23 10:45:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;    0
2017-01-23 10:46:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;    0
2017-01-23 10:47:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.0700;0.0000;    0;    0
2017-01-23 10:48:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.5400;0.0000;    0;    0
2017-01-23 10:49:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.1700;0.0000;    0;    0
2017-01-23 10:50:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.6400;0.0000;    0;    0
2017-01-23 10:51:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.9200;0.0000;    0;    0
2017-01-23 10:52:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;26.1100;0.0000;    0;    1
2017-01-23 10:53:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;26.3000;0.0000;    0;    0
2017-01-23 10:54:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;26.8800;0.0000;    0;    0
2017-01-23 10:55:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;27.0800;0.0000;    0;    0
2017-01-23 10:56:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;26.8800;0.0000;    0;    0
2017-01-23 10:57:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;26.3000;0.0000;    0;    0
2017-01-23 10:58:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;26.2100;0.0000;    0;    0
2017-01-23 10:59:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.4500;0.0000;    0;    0
2017-01-23 11:00:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.9700;0.0000;    0;    0
2017-01-23 11:01:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.7300;0.0000;    0;    0
2017-01-23 11:02:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;26.0100;0.0000;    0;    0
2017-01-23 11:03:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.3600;0.0000;    0;    3
2017-01-23 11:04:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.5400;0.0000;    0;    4
2017-01-23 11:05:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.0700;0.0000;    0;    4
2017-01-23 11:06:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7900;0.0000;    0;    5
2017-01-23 11:07:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;    7
2017-01-23 11:08:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;    7
2017-01-23 11:09:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.6100;0.0000;    0;    6
2017-01-23 11:10:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.8800;0.0000;    0;    5
2017-01-23 11:11:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;    4
2017-01-23 11:12:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;    3
2017-01-23 11:13:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;    3
2017-01-23 11:14:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.1400;0.0000;    0;    2
2017-01-23 11:15:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;    2
2017-01-23 11:16:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;    1
2017-01-23 11:17:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;    0
2017-01-23 11:18:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;    0
2017-01-23 11:19:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;    0
2017-01-23 11:20:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;    0
2017-01-23 11:21:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.1400;0.0000;    0;    0
2017-01-23 11:22:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.1400;0.0000;    0;    0
2017-01-23 11:23:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;    0
2017-01-23 11:24:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.3300;0.0000;    0;    0
2017-01-23 11:25:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.6100;0.0000;    0;    0
2017-01-23 11:26:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;    0
2017-01-23 11:27:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;    0
2017-01-23 11:28:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;    0
2017-01-23 11:29:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;    0
2017-01-23 11:30:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;    0
2017-01-23 11:31:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;    0
2017-01-23 11:32:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7900;0.0000;    0;    1
2017-01-23 11:33:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7900;0.0000;    0;    0
2017-01-23 11:34:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;    0
2017-01-23 11:35:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;    3
2017-01-23 11:36:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.8800;0.0000;    0;    6
2017-01-23 11:37:00;0.0000;170.5300;    0;    8;    0;    0;    1;    0;    0;24.6100;0.0000;    0;   15
2017-01-23 11:38:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;   14
2017-01-23 11:39:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;   15
2017-01-23 11:40:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.0700;0.0000;    0;   14
2017-01-23 11:41:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;25.0700;0.0000;    0;   13
2017-01-23 11:42:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.5200;0.0000;    0;   14
2017-01-23 11:43:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.4200;0.0000;    0;   15
2017-01-23 11:44:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.6100;0.0000;    0;   16
